Benchmark                                                                        Mode  Cnt       Score       Error  Units
BenchmarksRTree.bulkLoadingFullRTreeCreation010                                 thrpt   10      56.744 ±     4.518  ops/s
BenchmarksRTree.bulkLoadingRTreeCreation010                                     thrpt   10      56.754 ±     3.632  ops/s
BenchmarksRTree.defaultRTreeCreation010                                         thrpt   10       4.244 ±     0.131  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren004         thrpt   10  238675.363 ± 20514.999  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren010         thrpt   10  267929.557 ± 24533.590  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren032         thrpt   10  127366.670 ±  5061.060  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren128         thrpt   10  349751.328 ± 10087.703  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004    thrpt   10  220632.473 ± 29453.023  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010    thrpt   10  351922.833 ± 31492.337  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032    thrpt   10  339875.411 ±  6226.599  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128    thrpt   10  116274.483 ±  2622.117  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren004                    thrpt   10  178710.739 ±  2000.242  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren010                    thrpt   10  111362.592 ±   781.649  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren032                    thrpt   10  100367.118 ±  8021.120  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren128                    thrpt   10  101948.822 ±  6793.043  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren004               thrpt   10  117717.408 ±  2154.674  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren010               thrpt   10   40306.605 ±   751.443  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren032               thrpt   10   56994.143 ±  1438.618  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren128               thrpt   10   42324.017 ±   924.593  ops/s
BenchmarksRTree.rStarTreeDeleteOneEveryOccurrenceFromGreekDataChildren010       thrpt   10  231218.346 ±  3428.869  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren004            thrpt   10  194314.655 ±  3684.211  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren010            thrpt   10  174635.970 ±  1950.050  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren032            thrpt   10   37790.449 ±   533.349  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren128            thrpt   10  119357.155 ±  3219.929  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004       thrpt   10  190819.985 ±  4295.341  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010       thrpt   10  186323.407 ± 14471.005  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032       thrpt   10  122429.726 ± 11474.478  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128       thrpt   10    5038.048 ±   378.821  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren004                       thrpt   10  238728.205 ± 18693.591  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren010                       thrpt   10  199113.514 ± 18187.677  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren032                       thrpt   10  110173.275 ± 10027.529  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren128                       thrpt   10  170441.293 ±  8616.280  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren004                  thrpt   10  174893.792 ±  2274.756  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010                  thrpt   10  123183.186 ± 16622.344  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010WithBackpressure  thrpt   10  117621.256 ± 12328.578  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren032                  thrpt   10  171603.159 ± 12159.202  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren128                  thrpt   10   71806.841 ±  9063.710  ops/s
BenchmarksRTree.searchNearestGreek                                              thrpt   10    2846.551 ±   167.630  ops/s
BenchmarksRTree.starRTreeCreation010                                            thrpt   10       2.451 ±     0.091  ops/s
