Benchmark                                                                        Mode  Cnt       Score       Error  Units
BenchmarksRTree.bulkLoadingFullRTreeCreation010                                 thrpt   10      57.210 ±     1.049  ops/s
BenchmarksRTree.bulkLoadingRTreeCreation010                                     thrpt   10      55.141 ±     3.497  ops/s
BenchmarksRTree.defaultRTreeCreation010                                         thrpt   10       4.816 ±     0.080  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren004         thrpt   10  248363.055 ±  7980.848  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren010         thrpt   10  291927.113 ±  4581.462  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren032         thrpt   10  140101.556 ±  7241.563  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren128         thrpt   10  356320.511 ± 11124.241  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004    thrpt   10  244642.670 ±  7078.400  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010    thrpt   10  347826.030 ± 11978.961  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032    thrpt   10  313005.876 ±  8867.762  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128    thrpt   10  109693.277 ±  3195.490  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren004                    thrpt   10  229484.062 ±  5927.708  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren010                    thrpt   10  216643.590 ±  2292.602  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren032                    thrpt   10  332709.782 ±  4114.522  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren128                    thrpt   10  499143.759 ± 18643.642  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren004               thrpt   10  168275.136 ±  2443.611  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren010               thrpt   10   66665.277 ±   717.386  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren032               thrpt   10  143398.627 ± 10646.469  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren128               thrpt   10  184745.375 ±  3042.818  ops/s
BenchmarksRTree.rStarTreeDeleteOneEveryOccurrenceFromGreekDataChildren010       thrpt   10  205873.001 ± 15841.099  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren004            thrpt   10  181428.299 ±  9854.703  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren010            thrpt   10  153737.806 ±  1982.660  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren032            thrpt   10   37068.089 ±   630.848  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren128            thrpt   10  124885.590 ±  2836.407  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004       thrpt   10  200446.126 ±  8372.941  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010       thrpt   10  197660.647 ±  3580.199  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032       thrpt   10   73494.628 ±  1865.602  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128       thrpt   10    5122.433 ±   133.967  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren004                       thrpt   10  325333.259 ±  3204.865  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren010                       thrpt   10  261835.430 ±  2639.340  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren032                       thrpt   10  368091.171 ±  6814.358  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren128                       thrpt   10  627774.182 ± 10699.832  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren004                  thrpt   10  207551.986 ±  2659.413  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010                  thrpt   10  209846.524 ±  1341.221  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010WithBackpressure  thrpt   10  209731.378 ±  6038.598  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren032                  thrpt   10  268407.945 ±  2868.746  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren128                  thrpt   10  165279.445 ±  3433.788  ops/s
BenchmarksRTree.searchNearestGreek                                              thrpt   10    3427.836 ±   157.435  ops/s
BenchmarksRTree.starRTreeCreation010                                            thrpt   10       2.759 ±     0.122  ops/s

