mark                                                                               Mode  Cnt        Score       Error  Units
BenchmarksRTree.bulkLoadingFullRTreeCreation010                                        thrpt   10       57.010 ±     1.048  ops/s
BenchmarksRTree.bulkLoadingRTreeCreation010                                            thrpt   10       54.584 ±     0.830  ops/s
BenchmarksRTree.defaultRTreeCreation010                                                thrpt   10        4.733 ±     0.105  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren004                thrpt   10   243036.717 ±  9593.459  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren010                thrpt   10   271147.318 ±  3703.391  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren032                thrpt   10   133551.371 ±  2141.708  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryInto1000EntriesMaxChildren128                thrpt   10   361029.896 ±  6272.357  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004           thrpt   10   245867.896 ±  4253.391  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010           thrpt   10   365723.853 ±  5624.668  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032           thrpt   10   320747.115 ±  4055.036  ops/s
BenchmarksRTree.defaultRTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128           thrpt   10   115272.490 ±  2151.828  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren004                           thrpt   10  1150200.119 ± 20508.576  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren010                           thrpt   10   589352.987 ±  6978.534  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren032                           thrpt   10   553762.306 ±  6082.901  ops/s
BenchmarksRTree.defaultRTreeSearchOf1000PointsMaxChildren128                           thrpt   10   694798.891 ± 14027.534  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren004                      thrpt   10   729254.824 ±  9658.268  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren010                      thrpt   10   216558.280 ±  2192.575  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren032                      thrpt   10   292254.756 ±  6884.826  ops/s
BenchmarksRTree.defaultRTreeSearchOfGreekDataPointsMaxChildren128                      thrpt   10   229047.471 ±  6128.897  ops/s
BenchmarksRTree.flatBufferRTreeCreation010                                             thrpt   10     2219.210 ±    64.065  ops/s
BenchmarksRTree.rStarTreeDeleteOneEveryOccurrenceFromGreekDataChildren010              thrpt   10   227253.590 ±  4473.042  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren004                   thrpt   10   182341.870 ±  1204.862  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren010                   thrpt   10   157223.911 ±  2298.512  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren032                   thrpt   10    38059.533 ±   563.465  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryInto1000EntriesMaxChildren128                   thrpt   10   124546.109 ±  2620.488  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren004              thrpt   10   203182.685 ±  3400.973  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren010              thrpt   10   181681.592 ±  2764.036  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren032              thrpt   10    71718.115 ±  1169.262  ops/s
BenchmarksRTree.rStarTreeInsertOneEntryIntoGreekDataEntriesMaxChildren128              thrpt   10     5138.463 ±    84.387  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren004                              thrpt   10  1304516.044 ± 20818.756  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren010                              thrpt   10  1242850.044 ± 10380.354  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren032                              thrpt   10   640591.152 ± 10762.761  ops/s
BenchmarksRTree.rStarTreeSearchOf1000PointsMaxChildren128                              thrpt   10  1056717.750 ± 17168.912  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren004                         thrpt   10   881360.143 ± 13919.131  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010                         thrpt   10   750556.887 ± 12206.978  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010FlatBuffers              thrpt   10    59670.044 ±   846.870  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010FlatBuffersBackpressure  thrpt   10    30954.220 ±   410.734  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren010WithBackpressure         thrpt   10   106139.454 ±  1423.973  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren032                         thrpt   10   596266.133 ±  8759.964  ops/s
BenchmarksRTree.rStarTreeSearchOfGreekDataPointsMaxChildren128                         thrpt   10   319317.216 ±  5874.434  ops/s
BenchmarksRTree.searchNearestGreek                                                     thrpt   10     3786.561 ±    74.987  ops/s
BenchmarksRTree.starRTreeCreation010                                                   thrpt   10        2.703 ±     0.029  ops/s

